new entry "Clone_1"
type "Character"
data "Level" "1"
data "Strength" "8"
data "Dexterity" "12"
data "Constitution" "10"
data "Intelligence" "16"
data "Wisdom" "14"
data "Charisma" "18"
data "Armor" "10"
data "Vitality" "8"
data "XPReward" "40806669-8c6b-4068-8bc4-07e4981bb020"
data "Sight" "1600"
data "Hearing" "1100"
data "FOV" "90"
data "Weight" "75"
data "StepsType" "Bare"
data "DefaultBoosts" "ProficiencyBonus(Skill,Insight);ProficiencyBonus(Skill,Stealth);ProficiencyBonus(Skill,Perception);ProficiencyBonus(Skill,Deception);ProficiencyBonus(Skill,Investigation);BlockRegainHP(Undead;Construct);"
data "PathInfluence" "BloodElectrified,100;BloodFrozen,30;Lava,700;Fire,40;HolyFire,40;Hellfire,100;PoisonCloud,70;WyvernPoison,70;DrowPoisonCloud,70;PurpleWormPoison,70;SerpentVenom,70;InvisibleGithAcid,70;CloudkillCloud,70;MaliceCloud,70;CrawlerMucusCloud,70;WaterElectrified,100;WaterFrozen,30;Grease,30;Web,30;Vines,40;SporeBlackCloud,100;WaterCloudElectrified,40;SporeGreenCloud,40;Acid,30;CausticBrine,40;DarknessCloud,30;FogCloud,30;Mud,30;Oil,30;Poison,30;SpikeGrowth,40;SporePinkCloud,40;StinkingCloud,40"
data "ProficiencyBonusScaling" "265d62c4-9b82-4ed6-9a86-da675b4ef8fe"
data "SpellCastingAbility" "Charisma"
data "UnarmedAttackAbility" "Strength"
data "UnarmedRangedAttackAbility" "Strength"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;Movement:9;ReactionActionPoint:1"
data "Passives" "AttackOfOpportunity;DarknessRules"
data "MinimumDetectionRange" "2"
data "DarkvisionRange" "0"
data "FallingHitEffect" "VFX_Combat_Bludgeoning_Damage_Blood_01"
data "FallingLandEffect" "VFX_Combat_Force_Land_01"
data "ArmorType" "Cloth"
data "Proficiency Group" "SimpleWeapons;MusicalInstrument;LightArmor;MartialWeapons"
data "DifficultyStatuses" "STATUS_EASY: HEALTHREDUCTION_EASYMODE; STATUS_HARD: HEALTHBOOST_HARDCORE"

